feature_out,feature_in
channel_id,peer_id.channel_id
channel_name,channel_name
cluster,cluster
message_id,id
orig_date,fwd_from.date
orig_user,fwd_from.from_id.user_id
orig_channel,fwd_from.from_id.channel_id
orig_channel_post,fwd_from.channel_post
reply_to,reply_to.reply_to_msg_id
message,message
date,date
media_type,media._
document_type,media.document.mime_type
webpage_url,media.webpage.url
webpage_type,media.webpage.type
webpage_site_name,media.webpage.site_name
webpage_title,media.webpage.title
webpage_description,media.webpage.description
webpage_document_type,media.webpage.document.mime_type
no_forwards,noforwards
views,views
forwards,forwards
replies,replies.replies
reactions,reactions.results
